time;temp;press
0.1;862.667037581748;-2828.56861080292
0.2;849.281425038423;-4510.93532689057
0.3;864.353588088526;-3310.45194931076
0.4;877.792782788265;-3411.64960170803
0.5;871.888301287712;-3544.52023261079
0.6;888.412764195433;-2087.97225310733
0.7;903.956813502228;-2156.02229556134
0.8;887.197457628392;-844.494589437246
0.9;892.49930131192;-2371.58630133879
1;891.363526726429;-970.368601284423
1.1;889.747210775773;-307.999073879041
1.2;894.418180193712;90.4964323675623
1.3;907.726286653993;-2623.37183886896
1.4;895.956442423777;-666.268402313048
1.5;902.864875500045;-1515.17247065803
1.6;893.734722791693;-1251.33699916585
1.7;892.443484822384;-1740.21334831882
1.8;893.26702630269;-2339.72597067342
1.9;902.162638858897;-2759.86389805025
2;896.233059888047;-1622.01739508087
2.1;895.781288544448;-873.594240494683
2.2;887.805285125202;-3165.91955217116
2.3;897.165025102774;-1451.0911533793
2.4;910.477336138532;-2450.56740732821
2.5;888.076546589576;-3551.97841214736
2.6;904.671103010159;-2544.988068881
2.7;889.10087177276;-2707.3371747674
2.8;904.042335318562;-926.078812311198
2.9;890.830227044241;-2658.44686635117
3;888.777325026579;-1717.16847109091
3.1;904.238712647777;-2867.59849554489
3.2;916.789190415909;-3167.68835643955
3.3;890.929088070096;-2498.0326417185
3.4;905.436680682943;-1680.93080922829
3.5;894.110496724762;-2619.60964825708
3.6;892.741424791685;-1517.83969436779
3.7;898.607552927973;-2050.40125623739
3.8;900.989162813995;-2082.64049424084
3.9;895.836669658074;-2060.51912988232
4;902.854324463397;-794.309370902324
4.1;900.733776384821;-1546.37619092201
4.2;890.197185708056;-2491.47525943385
4.3;905.895429189952;-1198.18676697163
4.4;900.12580072909;-2301.94899290528
4.5;896.617828538021;-2589.03896532938
4.6;894.840999453331;-2788.93846650647
4.7;894.66182788517;-2055.30002562876
4.8;907.714643120959;-3427.30482962566
4.9;900.585710422507;-1862.81300776382
5;893.841170198653;-1658.97168690546
5.1;894.971814593922;-2662.0290059141
5.2;907.281873047866;-3094.53345547979
5.3;902.355803037158;-2519.53514530825
5.4;912.87849387917;-1967.58494246308
5.5;884.310122120542;-2364.48608791616
5.6;913.618604060492;-2987.25614003168
5.7;901.174471099001;-2806.14622363633
5.8;910.931629761154;-2482.94348625306
5.9;888.235265247104;-2668.66099435122
6;890.662393565789;-2713.78193432692
6.1;907.74263475446;-3054.62097004805
6.2;889.734309845368;-3243.19021075925
6.3;901.295302338952;-3365.33871880192
6.4;888.932779439864;-2561.91803613564
6.5;901.227672094645;-3752.61522961183
6.6;914.055457964057;-2752.07870674461
6.7;907.302190296371;-2574.17212062212
6.8;899.079384000158;-2973.75804401588
6.9;904.874749878297;-2950.95442832554
7;903.156496850402;-2123.91886078
7.1;898.511774517771;-2359.87313605101
7.2;894.758686929183;-2093.10079719693
7.3;909.652385742611;-1702.83521530465
7.4;890.034423840959;-1561.24375029025
7.5;902.786851327331;-1404.49791698125
7.6;908.411827844245;-2578.91746607505
7.7;891.736187743881;-2976.13172713686
7.8;911.317720237199;-1796.23689762502
7.9;906.333049301372;-2590.70051028551
8;908.966453030184;-3470.01357300835
8.1;914.309904323595;-2965.57780115875
8.2;892.818465171147;-3262.09351064414
8.3;909.718699171457;-4178.38211609681
8.4;903.332931793967;-2870.59240902128
8.5;899.867474246952;-2159.55891986803
8.6;905.414240225663;-3234.14291135786
8.7;900.441632056451;-1725.60761823082
8.8;898.192516608985;-2534.84277827374
8.9;904.804839394949;-2350.73717344687
9;905.731644595707;-2415.79795159338
9.1;901.317518182919;-3247.77631409519
9.2;908.543804159654;-2921.95797295451
9.3;901.815859925368;-3601.02703559095
9.4;893.504382716745;-3219.67982199304
9.5;907.600651999541;-3965.73322073666
9.6;900.379250809232;-2867.51677654975
9.7;900.292813929348;-3382.561614385
9.8;897.611168449019;-4912.66353588358
9.9;910.171460355235;-2785.84248529968
10;904.751518955183;-4598.70142808444
10.1;891.99199845593;-2404.00933584136
10.2;904.486330892938;-2634.59980452814
10.3;899.286845371292;-3808.1061434229
10.4;896.009675958788;-2842.52459947531
10.5;904.718597194641;-2613.70802227292
10.6;897.762156069634;-3156.70819646268
10.7;904.309636401411;-2084.17292344612
10.8;893.14646284204;-1436.58755767637
10.9;901.575992830914;-3274.35017214402
11;903.658142210708;-3243.93025750565
11.1;897.947013338202;-3175.1378939291
