time;id
2;1640
9;2550
15;2132
17;1353
17;259
13;260
16;2104
32;3227
32;545
37;3291
38;1900
39;347
1;1862
39;939
40;769
41;3118
51;2844
19;3184
58;2306
69;204
69;1676
73;2658
73;2407
72;2520
85;2713
18;2442
1;2459
7;2765
93;1747
77;1384
58;959
99;2013
4;1356
71;2110
2;2093
54;2327
119;650
47;1704
79;348
89;292
15;2278
78;2871
35;1960
65;159
100;3112
150;1490
114;792
50;416
21;1475
39;2010
56;691
47;2274
103;2601
9;690
135;3152
95;943
110;2462
203;1080
87;257
174;3277
212;2971
12;2389
98;1647
118;1392
46;2609
65;389
238;102
68;2293
158;1791
251;1259
254;1145
12;2298
162;2722
34;2689
5;2703
262;3429
8;2753
58;1367
278;2180
6;2761
3;1375
21;2697
32;1820
77;261
105;661
135;827
33;3424
306;475
91;1724
1;1646
57;2341
187;2822
77;57
147;3160
122;2445
64;2201
204;3113
132;2942
215;197
64;843
249;2082
18;2214
328;1922
45;97
1;1883
8;2116
3;2149
19;767
33;3033
219;1431
23;2091
29;1868
2;1857
9;2130
12;1468
10;2153
2;2124
1;2144
53;12
21;1839
42;773
65;120
74;2986
388;599
117;1706
233;970
98;3220
95;2418
4;2409
40;1474
26;216
443;1557
21;894
160;3396
43;807
11;877
185;2660
52;1877
196;2749
30;1466
122;2255
2;2167
31;3351
200;230
43;1532
77;11
235;1174
206;695
74;2996
10;1187
76;1673
334;2024
85;633
80;3172
236;1326
206;2823
76;192
50;2760
12;1299
8;123
50;71
292;1237
56;1581
28;194
479;2500
94;875
22;1547
194;3130
57;3134
3;3051
73;1165
33;1292
120;2595
90;3019
347;382
149;2448
25;1562
22;3214
128;1894
24;2470
88;2702
38;3079
30;2643
121;756
95;2869
31;2995
416;1057
116;1628
27;1937
65;2579
415;3313
148;302
27;2724
11;2707
34;2983
61;3135
134;1311
179;3362
131;32
167;2033
101;1085
68;2436
21;1395
376;2339
12;1090
12;2398
3;2438
84;2698
4;2414
85;1631
23;1399
228;2246
39;1994
156;207
