time;id
1;1724
1;2006
3;1912
9;1131
8;1142
20;2609
23;2502
40;1035
51;2424
60;168
71;727
74;357
35;1045
76;920
79;2802
64;2518
90;1837
96;1344
23;971
104;3304
105;3057
109;2123
46;1034
23;905
9;1066
77;177
147;3384
37;891
171;2994
16;2978
125;657
203;809
43;948
204;44
187;2680
133;409
114;3104
25;847
128;3343
236;1647
47;349
262;2045
262;2843
263;232
8;1969
269;463
8;2854
1;2031
45;859
6;761
291;2187
37;412
31;262
216;2701
32;772
317;3239
323;2358
77;2023
163;2997
163;749
82;431
113;482
158;3291
256;160
101;236
401;1201
251;3369
386;1110
402;586
357;2416
180;1682
21;252
215;2595
48;451
146;2177
4;2225
148;2797
126;2328
62;3268
236;3099
18;2345
71;1114
81;153
58;1705
4;1669
12;1156
66;269
14;1643
139;756
7;1692
102;2413
113;567
125;3410
58;2316
1;2273
530;1522
82;2750
178;2991
183;2039
123;2616
459;1393
155;1206
72;254
101;3110
470;1886
33;2965
568;1801
451;1043
383;901
30;2930
90;2406
148;3338
46;1926
168;2218
344;2871
113;746
300;3218
93;1513
8;663
25;2392
42;882
3;912
11;708
109;2028
84;317
25;1520
55;2892
120;3078
157;3444
85;3311
607;2588
9;2585
98;3149
285;511
119;2259
29;2561
532;87
50;3293
427;821
16;773
38;433
232;2335
142;911
107;2823
102;3051
267;644
30;504
58;2193
153;680
145;1532
321;166
14;529
124;3397
21;654
41;2882
216;1888
35;1561
50;2170
18;1546
202;296
318;2709
268;1073
46;656
307;1372
145;3212
318;2659
396;1117
784;2082
303;3015
271;2473
151;2307
32;1126
295;1978
134;501
379;1784
3;1740
158;3447
73;2982
130;1048
202;582
25;2988
48;3359
77;497
26;2923
86;2003
124;2467
181;1617
655;417
479;1212
238;171
252;3115
27;3396
314;2485
198;249
39;442
9;2589
23;1265
25;208
1070;1466
112;1778
82;594
20;2510
13;1819
9;1790
227;2696
231;1323
231;3147
183;2282
5;1360
3;2276
252;2751
2;2301
5;1356
83;1554
278;2211
30;2168
1;2253
58;3194
332;1845
85;2489
9;1944
423;13
145;397
683;1728
134;302
71;1548
23;2539
87;1309
