time;id
1;2027
13;2583
2;2506
16;2167
18;3406
23;1091
4;2188
28;2961
39;2083
46;382
52;1429
51;1788
37;2516
56;2876
61;3348
76;684
77;1236
72;2035
20;2809
41;330
39;2135
7;2048
80;2409
10;331
107;969
116;506
43;3266
19;894
121;1932
60;1219
93;2953
139;1646
124;2786
51;2017
2;2025
144;2274
23;1629
11;1963
2;1980
155;2595
184;1337
51;1253
15;2688
143;1434
28;1975
102;376
91;903
173;2182
107;540
44;1390
29;398
43;1294
158;673
236;1056
239;207
67;2374
90;1837
81;1723
12;2297
1;2313
268;224
12;2364
269;28
245;1184
161;2092
77;1458
9;247
42;1639
291;814
7;1715
98;2661
195;2390
155;2762
326;1597
112;1981
279;3377
20;2398
2;3444
46;1681
195;3289
352;560
31;1524
65;787
98;1432
143;396
157;944
37;573
266;2858
2;2836
50;3359
50;3273
140;1862
180;492
16;2843
176;1032
41;354
196;1322
195;745
167;108
156;2304
277;2952
135;2724
118;2401
147;2682
13;2442
69;2854
77;1386
71;682
236;251
137;882
181;1529
123;377
129;3268
214;1664
184;1452
64;1379
15;1679
454;1785
182;567
61;230
338;134
13;218
476;2494
49;3283
45;1380
379;1274
33;285
4;269
190;81
267;839
206;3407
141;2766
366;1165
62;550
78;1457
104;371
18;778
570;3048
288;1965
122;1611
51;1271
346;2120
61;2519
197;2360
3;2282
178;747
282;435
103;1781
607;3236
37;2090
147;1671
97;237
79;408
14;1637
43;1734
161;115
122;3306
239;2678
2;2625
118;1098
316;1841
80;2486
133;19
1;2528
2;2556
1;2574
122;2719
31;3346
30;84
45;1757
125;1619
78;2159
513;2185
92;3227
1;3151
114;2330
160;834
1;2291
20;1819
18;2143
209;1316
15;852
64;1861
161;2013
174;1293
14;1878
176;3074
34;1813
198;3396
69;3335
109;1128
53;3178
234;620
341;2894
198;714
93;4
60;2098
59;1202
75;805
223;493
58;1890
501;1058
99;2236
1;2267
1;2237
10;1905
55;607
414;2979
18;1025
15;2187
15;1869
45;795
74;3166
4;3182
443;947
172;2542
189;2637
329;1504
5;2623
144;1376
82;2828
77;1264
45;2201
116;3246
34;1325
66;3024
48;871
271;1703
41;1509
148;1993
122;43
37;2641
288;425
70;830
58;3196
30;3256
158;3371
21;813
197;2344
1;2337
32;2611
15;3387
25;3147
88;1190
272;1567
94;2586
173;2078
93;1644
217;650
291;2704
180;559
234;3043
250;1124
112;1298
8;626
188;1047
48;2565
119;949
18;1328
393;143
32;613
159;2825
430;244
47;2769
3;2862
24;212
150;1481
102;3239
134;828
129;1270
170;2939
98;888
178;3339
55;3156
31;2975
125;1168
88;321
238;430
128;976
60;1203
29;3187
223;2039
180;1726
138;2511
1;2575
64;891
25;924
202;2089
414;476
77;2973
73;355
736;2417
296;2210
150;2905
15;2160
91;1104
249;3408
175;171
11;2162
24;931
160;2757
2;2212
29;470
340;69
111;306
283;2342
280;2658
225;3087
5;2653
30;2787
35;898
11;2357
52;340
44;2848
1;2892
6;2823
1;2865
20;2738
64;3353
37;2358
81;2428
85;2202
88;462
510;1751
154;3172
94;53
3;3177
157;1991
70;2607
81;372
86;3062
211;1250
228;997
203;1673
38;38
327;1475
134;221
319;860
87;3427
374;1333
16;807
47;1038
76;352
126;2911
68;1709
179;929
453;652
62;279
6;1708
22;2899
1;2818
108;1798
2;2867
205;2101
1;2817
103;2606
89;1502
142;2461
10;2620
567;1942
130;3160
120;33
93;789
72;350
175;2332
131;3063
63;702
196;2720
8;2362
54;1738
1;2309
56;1409
33;337
72;2099
95;908
196;2206
132;1046
331;146
8;2189
67;3170
67;5
2;2244
208;1277
345;2533
532;558
1;2577
13;2524
220;1996
362;1093
1;2551
47;2141
3;2022
69;328
116;2421
92;3065
356;2928
128;1839
6;1920
32;2431
144;2665
3;2593
13;1848
29;3058
75;2254
85;9
1;2216
222;3380
99;974
174;2849
9;1898
90;615
74;1153
348;454
24;2874
77;1954
4;2846
118;1204
288;1389
4;2886
154;1814
38;3424
161;2759
5;2812
1;2887
29;456
86;2977
59;1860
32;2729
181;168
89;23
100;1013
556;3260
164;379
39;2726
334;1649
50;96
125;610
83;501
12;1698
138;2430
111;1335
9;1355
103;3384
80;1857
316;824
6;3385
13;1875
878;1518
49;494
111;136
54;1725
29;3453
260;3148
316;952
55;2386
150;1794
72;72
161;2009
246;2085
63;810
452;286
133;412
148;1019
119;3334
68;475
175;2987
415;735
54;1789
85;1847
70;900
38;233
14;1810
36;3275
150;2805
159;599
5;2806
45;2974
43;1885
24;597
293;3091
6;1904
10;3103
8;1934
82;489
144;1719
100;333
127;3143
59;1749
108;1036
81;317
333;2669
144;862
217;1302
108;756
176;98
355;1276
342;2215
1;2260
22;2636
54;512
465;2327
8;2213
94;629
18;2325
187;2037
61;292
150;948
47;678
232;122
59;1351
60;796
70;1784
112;2994
56;2613
121;1666
42;658
222;2124
55;634
48;2367
607;1467
122;1937
19;732
27;1676
16;1493
63;2046
109;1284
9;1464
73;1372
328;1515
499;1109
158;3030
105;2230
16;1402
22;1440
516;2520
16;1562
27;1603
213;407
247;2777
90;1911
98;2371
161;267
157;120
196;499
91;1258
346;3394
12;324
490;2915
1;2838
111;723
93;1132
26;1852
188;759
39;185
37;657
50;2324
55;445
168;2643
192;1747
6;1779
56;1102
111;1572
128;2495
50;765
1;2530
136;2233
16;2175
96;241
8;2166
57;2356
112;2735
193;1309
