time;id
1;3005
1;3094
7;737
15;2155
3;2158
18;3319
19;3099
21;1429
22;1000
24;1973
24;175
25;1862
25;234
27;2218
1;2162
32;2828
33;2707
12;1414
35;102
40;1379
42;1817
43;3356
1;3384
39;741
46;1203
47;610
10;1337
55;1092
23;2794
34;147
70;2323
21;1342
52;286
80;3172
87;2575
81;2126
19;2542
112;2461
113;1629
60;1142
74;1779
117;2686
88;2818
43;279
103;3348
16;2537
99;1890
3;1874
101;2171
127;2986
85;1215
13;2558
27;2377
1;2421
103;75
107;1472
45;2147
15;2229
82;1367
130;998
20;1259
5;987
113;628
169;943
37;1500
21;964
75;2616
54;2434
199;1546
3;2378
56;2150
73;1889
59;12
10;2672
160;3427
134;2284
205;480
50;1071
103;1662
82;2557
21;27
13;991
30;2440
67;614
179;2748
2;2714
238;793
41;1905
159;3157
179;166
90;1296
126;3326
29;99
50;2620
76;1413
138;2839
106;1401
10;69
150;1134
244;2030
39;2385
36;616
68;2064
21;3303
73;1568
21;1422
45;2732
39;213
1;2713
38;1255
60;994
235;685
19;1961
81;2322
24;2769
103;3447
1;2739
52;2137
205;1762
321;402
16;2703
68;2834
63;2464
94;836
67;3274
131;518
35;3407
326;3109
25;2087
1;3052
2;3047
218;2944
12;812
29;1737
2;3027
158;878
5;2121
68;1283
1;2119
2;3119
236;265
95;2
12;825
109;2634
42;2708
39;2878
20;2151
93;1433
22;916
21;3116
1;3026
2;3031
22;2645
104;177
110;1059
33;777
129;1174
54;3397
57;511
74;425
10;986
45;238
45;43
8;3381
10;454
193;1669
127;2039
67;1811
55;2875
153;1609
53;2055
32;1097
167;1393
88;2956
108;2443
35;1034
1;2427
35;3445
14;2081
1;2449
12;1400
3;2393
50;426
98;1238
34;1796
49;318
214;1931
16;1345
24;2990
57;478
101;2802
27;2482
19;1733
59;2018
93;2688
194;653
63;1541
37;1849
54;1047
25;2390
256;3196
59;2059
13;1554
106;783
11;1879
5;2105
127;3041
1;2116
2;2113
366;2217
40;1790
62;363
126;185
186;3298
29;2483
46;752
55;1997
114;1713
7;1636
36;1857
74;2777
4;2711
33;110
45;3056
27;2472
2;2423
98;1368
136;2838
14;2797
6;2447
1;2474
58;769
63;2148
145;1100
177;33
30;1385
22;2082
219;1447
81;1784
33;2479
3;1760
84;335
93;2223
140;2975
3;2977
153;1271
5;2227
332;596
79;2048
16;2484
136;2625
113;1577
8;1965
123;3143
17;1262
78;153
408;2590
62;1186
52;24
21;1542
144;982
189;307
177;531
51;1827
49;545
25;1081
98;829
60;2204
57;2415
1;2405
28;975
3;2442
387;2332
145;699
34;268
156;3308
93;1390
125;2901
46;1582
14;2462
2;2430
60;2547
71;2029
27;770
321;909
