time;id
1;1573
12;991
14;2123
16;1884
1;1865
1;1911
24;642
30;1745
30;140
32;1616
40;539
45;1194
24;156
56;3183
25;1607
1;1576
1;1577
72;1108
77;272
83;3419
10;1094
38;1226
85;1058
17;1092
44;1614
21;1038
42;3432
88;438
39;1144
23;522
82;1248
168;891
162;1908
1;1915
105;254
23;1202
48;463
210;2438
31;1892
213;57
217;3049
223;3321
175;3136
23;2440
100;1147
80;894
228;567
253;2978
24;2418
68;523
268;2572
3;472
270;1325
35;1188
285;2863
301;749
316;1674
311;2142
270;178
330;2253
328;432
70;1386
348;2792
16;416
134;3117
149;69
119;575
372;2636
393;1982
43;391
275;3454
173;2475
232;1929
159;2890
9;1934
186;471
352;1585
2;1528
185;717
255;3171
377;1053
113;339
6;1072
157;3070
73;2881
38;679
155;2657
346;244
155;1955
21;728
199;1300
46;414
88;1544
103;1919
20;1355
314;903
248;2057
265;1699
256;141
46;2013
81;2681
37;1690
1;1622
134;1032
121;2850
302;2804
648;1429
288;554
42;1684
156;3068
23;1480
17;1489
12;1482
93;2689
734;786
155;175
180;879
505;2956
109;2718
573;1209
249;286
85;2594
240;1940
132;3028
71;149
40;1205
263;357
13;111
16;159
363;3231
24;139
597;1117
217;552
27;3221
19;594
349;1369
4;1358
372;1517
6;1333
2;1603
124;1274
5;1239
948;2344
370;2056
1;1285
5;1264
8;1257
2;1281
425;694
176;3095
701;2553
342;982
395;2044
131;1142
770;3348
23;1010
259;2995
256;2600
702;70
667;3429
130;2114
84;2940
653;505
106;3294
353;2801
28;2767
723;2480
444;1512
98;3409
508;1713
138;2691
375;344
135;43
98;464
23;369
1;394
483;832
243;1989
487;935
277;3101
148;3346
307;1272
1215;1755
124;2773
337;2364
105;2606
108;1728
62;1961
139;3412
505;1922
46;2338
996;2206
339;1155
56;3358
141;796
505;194
102;1190
65;1878
732;2879
463;1540
3;1551
32;2913
159;3107
432;2554
196;892
92;782
396;2075
508;695
30;845
603;562
28;678
100;2860
30;779
2;762
36;640
268;2775
277;3340
193;1111
329;327
361;475
214;3393
65;864
499;2952
313;2608
104;699
5;756
82;2795
1;687
1;684
261;1232
83;405
493;2424
15;1214
175;2087
320;2260
257;1524
12;2199
38;2120
268;2557
929;319
82;347
42;2160
114;1227
783;985
3;993
266;3414
566;1666
151;356
704;1464
539;2318
25;2289
255;2240
375;821
4;757
129;1495
799;103
418;661
670;1938
460;2725
563;614
549;1121
668;866
34;2727
106;1918
228;2220
555;2613
680;3347
66;1903
487;1238
1;1262
354;2375
618;2471
108;2215
1381;3204
1023;1746
25;3184
712;2988
751;502
170;2697
492;3434
81;2187
1444;1326
583;1079
1;1046
1;1052
5;973
721;1538
399;1493
1049;148
306;2752
58;1375
177;2441
350;619
1155;1991
174;3237
479;26
53;2713
242;1207
273;3310
50;1948
74;1327
428;1133
218;479
212;3399
363;1920
92;3330
10;1882
1;1889
888;2106
227;1584
115;2039
6;1529
1;1598
185;3152
63;1905
176;63
353;3003
170;1402
131;509
5;443
91;2080
437;1812
476;2305
302;2456
1336;3063
370;1057
84;1374
1;1312
6;1067
210;3375
241;1175
1058;224
813;829
930;410
78;1796
430;1507
134;2081
11;2124
361;1278
373;2707
63;1759
226;1864
128;1346
247;46
254;3150
1068;1697
187;2399
264;2934
165;1091
15;1090
207;3397
419;3326
237;1060
123;1900
191;1421
289;2293
921;942
179;2158
111;2395
168;59
42;2105
73;1860
456;1611
745;2226
11;1913
66;917
94;1055
6;1051
1;1073
1;1070
35;91
318;334
1067;655
117;1506
685;636
124;2279
372;860
57;983
84;889
314;1777
769;190
50;1500
14;902
113;1859
585;1986
90;2362
323;3225
49;1430
125;672
205;2382
65;198
415;1213
65;1967
199;2060
156;623
49;2453
157;876
1;971
1;972
492;2719
95;1193
45;898
188;3189
427;3269
82;2808
525;1701
332;399
2;1621
1;1649
34;3285
582;1393
1;1339
294;1757
527;1135
205;2140
185;2435
15;1341
233;1947
716;306
46;1089
301;2286
312;652
1907;2538
101;2457
609;3430
197;919
25;2413
49;2559
544;2194
991;481
47;2207
531;771
925;3035
17;2169
211;1148
502;1447
553;1880
73;513
297;3263
67;3098
338;2755
256;2352
209;3353
307;2043
132;813
231;899
44;3352
1512;2687
40;941
520;1208
2366;2905
84;812
986;2976
62;2694
176;446
229;2268
27;761
462;2132
167;2335
533;426
84;2932
608;3227
98;465
37;2938
794;147
233;1995
283;3062
938;81
65;123
143;2319
364;1473
69;2011
372;1171
510;2493
244;2840
115;2991
680;1730
267;1218
417;1850
129;3112
37;2495
20;1924
162;3160
161;536
423;2744
616;2389
317;2258
65;1926
222;29
135;2886
728;724
413;930
4;946
7;947
198;1454
1166;984
2;999
412;842
70;61
423;2639
190;1203
863;1354
7;1260
8;1385
91;885
209;3145
14;924
284;3007
257;2584
334;1116
1011;1726
2;1647
603;3455
706;3337
960;268
219;2166
269;2805
360;2024
99;3188
162;856
136;958
196;1389
1;1336
374;510
65;3233
339;2421
468;121
74;841
119;1977
270;986
351;1917
1;1885
156;3306
187;3021
177;1128
192;1685
310;1253
1590;1513
1;1579
114;1352
95;1893
268;2506
133;168
31;1608
424;715
104;1076
722;330
3;371
1410;590
144;2015
276;2738
18;1972
60;546
34;2749
632;1747
517;2902
6;1814
178;2925
98;1033
3;1042
476;2
495;2614
190;1642
1;1625
394;315
107;2033
568;1466
34;1696
776;2322
695;3114
308;848
1;780
190;212
54;1451
223;1590
303;1162
371;3178
222;408
138;2911
59;1691
131;1034
9;346
2;1001
15;1646
9;1074
284;1240
278;1329
186;2927
454;912
94;2880
99;1126
109;1586
170;3089
164;183
76;2971
125;1712
48;1154
611;2208
16;1648
14;1673
172;389
256;2017
265;269
199;3182
176;1270
1188;2061
107;1521
360;1754
275;777
113;2943
614;480
441;571
673;2473
154;2177
27;595
800;3405
133;374
116;1293
326;1407
15;631
214;3050
247;2839
399;2326
484;32
131;533
270;146
75;1437
484;2663
625;721
18;179
210;3170
228;1956
56;737
1;734
236;836
147;343
48;2010
36;333
186;3420
48;853
14;428
195;549
14;349
303;1801
694;2763
34;815
20;2777
94;2045
198;54
17;2794
383;2067
10;2098
206;532
916;3309
3;468
204;2602
267;2306
212;3210
597;1351
1;1337
411;1563
181;718
137;3421
92;2048
420;2967
30;703
283;1455
329;2875
377;2225
109;82
100;2059
421;2419
74;1450
121;1353
64;2084
244;548
82;85
152;2287
149;3377
214;2759
43;1423
656;1104
20;3438
198;3158
153;747
421;177
154;2214
27;743
361;352
5;368
824;870
554;3077
249;1988
303;3345
721;235
764;1665
9;1629
199;2478
184;617
90;716
2;658
1;683
135;3153
1193;2580
241;1373
63;690
74;632
363;2968
203;204
266;2798
453;2686
101;2592
287;3451
145;3174
348;2150
190;303
584;1763
214;1968
318;1139
114;213
255;383
83;3193
53;135
183;697
1;688
435;107
123;3363
286;1656
339;3056
712;770
346;882
35;1689
145;258
46;768
94;701
109;207
527;2331
707;1593
239;2051
248;1762
587;1510
542;2230
132;321
42;1562
186;30
279;1160
346;2590
187;3092
186;1686
227;3394
44;1138
176;126
58;2529
40;1700
575;3313
93;1519
17;3259
557;2443
232;855
45;2530
226;2330
927;435
180;1736
192;1494
467;2094
563;622
179;55
61;514
470;350
12;491
108;2390
947;2820
555;2771
168;1667
7;1627
185;1520
9;1591
228;1129
502;3177
221;150
108;2409
366;2002
192;1781
141;433
25;1779
241;2511
359;3072
172;2750
783;1372
225;2093
90;1996
252;1508
236;12
813;3004
449;221
773;2652
448;2228
62;2807
193;164
647;900
328;639
179;2406
486;3408
114;1440
250;3213
110;2679
25;3232
132;2213
65;1445
116;931
27;2189
258;527
248;2567
331;1134
504;808
28;2165
171;582
36;2243
312;1774
112;3147
299;3045
29;1829
