time;id
1;676
1;1061
4;1316
7;433
9;1280
2;1295
13;3455
12;1546
1;1566
14;825
19;2322
17;327
23;2172
21;582
31;1763
33;2063
29;1002
29;751
2;1016
25;437
37;2444
37;3154
37;2697
2;984
23;849
24;1550
21;428
1;368
9;1055
29;2174
53;1890
10;1601
5;1558
41;2319
32;1814
2;1822
68;2936
69;3072
33;659
64;1710
65;52
46;597
70;1450
44;3143
23;2302
83;2572
74;290
71;3418
25;2962
45;1071
89;163
53;810
101;1156
70;352
86;2678
48;41
130;2704
99;2126
39;2925
67;1600
12;2596
46;237
55;606
91;444
6;314
37;123
6;527
44;995
31;1109
67;3387
87;1794
26;2146
72;1458
86;2581
89;2358
176;1993
127;1862
1;1903
1;1944
1;1849
31;1132
3;1902
23;1409
151;2443
16;2294
190;2868
121;3070
3;1895
167;919
15;1983
105;1711
3;1919
1;1874
25;2507
4;1628
48;1017
17;2456
90;822
5;1058
22;2275
22;1151
67;1555
125;687
1;1614
1;702
24;2513
92;2713
90;2942
86;2648
30;877
11;1557
21;2470
1;1561
73;259
1;1590
72;467
98;345
13;2391
48;1933
101;95
205;1214
96;557
38;2293
4;1205
1;1294
21;1544
1;1232
18;344
32;2680
206;2208
106;3444
42;2963
77;2881
13;1528
10;2203
65;1674
16;2618
118;2092
94;3121
57;906
1;964
255;1348
43;3420
149;1790
42;1596
2;1540
41;2067
104;2555
27;1332
7;1530
86;443
65;1291
136;1999
3;461
5;1365
59;2653
49;3046
96;2440
82;88
34;1738
13;1239
76;2176
176;135
18;1597
25;2590
47;3378
122;1158
93;3000
8;1102
141;2708
25;71
39;2007
19;1536
10;3010
27;2250
26;1290
142;710
5;1230
115;559
74;963
141;1841
100;1669
52;3092
37;3412
143;276
12;621
5;1634
57;489
29;3014
36;2770
30;2202
73;2612
4;2210
174;1045
326;3222
1;1012
19;613
73;1313
418;3265
28;1676
21;2687
160;2826
45;1236
62;1113
5;1685
62;1981
30;511
26;2236
50;1936
77;177
9;2698
18;3286
62;15
8;479
163;423
92;2591
44;2952
213;765
65;3093
53;1026
88;3439
44;2228
7;1076
39;493
58;3243
73;1398
1;1300
1;1305
108;2803
67;2545
75;1661
95;544
14;2578
81;376
83;3113
67;3398
144;874
48;3276
157;1553
209;1741
118;2605
104;130
31;2575
95;780
22;3102
2;774
75;1000
156;3231
232;2435
19;1813
13;2502
115;32
64;1391
10;1799
34;3247
179;685
166;223
53;646
76;2733
34;1580
90;525
2;1537
20;2569
1;1586
1;1587
148;2990
42;955
8;439
150;1159
279;2158
23;1780
4;2117
172;1883
1;1853
43;789
361;2269
12;474
44;2400
44;1025
6;2422
33;669
169;1256
7;1024
14;2366
3;982
13;520
5;532
15;2458
24;842
47;623
158;2218
16;705
49;318
32;2062
1;749
54;2780
46;1594
215;1948
4;1543
11;706
17;536
1;750
16;2705
232;2913
83;3300
33;2429
27;838
111;3122
19;1571
47;2325
19;2765
110;128
72;1105
93;2587
2;1085
82;956
56;999
99;2931
57;634
36;771
42;2364
55;3331
35;116
28;1067
1;983
56;3026
168;414
13;3307
99;1282
11;993
83;692
66;2547
75;2782
29;3084
42;766
91;524
172;54
220;1642
40;354
32;1044
523;1470
143;2072
240;3357
230;2691
71;2313
36;2791
10;1405
10;2602
33;93
14;2740
44;464
55;3088
8;91
63;2495
40;1072
6;981
48;384
21;3035
18;26
12;1048
39;2771
49;1415
13;1027
104;1249
72;2349
251;1856
196;269
157;952
